0 tensor(8.7202, device='cuda:0', grad_fn=<MeanBackward0>)
36 tensor(6.8940, device='cuda:0', grad_fn=<MeanBackward0>)
37 tensor(6.8940, device='cuda:0', grad_fn=<MeanBackward0>)
38 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
39 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
40 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
41 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
42 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
43 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
44 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
45 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
46 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
47 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
48 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
49 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
50 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
51 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
52 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
53 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
54 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
55 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
56 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
57 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
58 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
59 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
60 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
61 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
62 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
63 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
64 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
65 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
66 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
67 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
68 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
69 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
70 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
71 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
72 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
73 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
74 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
75 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
76 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
77 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
78 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
79 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
80 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
81 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
82 tensor(6.6836, device='cuda:0', grad_fn=<MeanBackward0>)
83 tensor(6.6106, device='cuda:0', grad_fn=<MeanBackward0>)
84 tensor(6.6106, device='cuda:0', grad_fn=<MeanBackward0>)
85 tensor(6.6106, device='cuda:0', grad_fn=<MeanBackward0>)
86 tensor(6.6106, device='cuda:0', grad_fn=<MeanBackward0>)
87 tensor(6.6106, device='cuda:0', grad_fn=<MeanBackward0>)
88 tensor(6.6106, device='cuda:0', grad_fn=<MeanBackward0>)
89 tensor(6.6106, device='cuda:0', grad_fn=<MeanBackward0>)
90 tensor(6.6106, device='cuda:0', grad_fn=<MeanBackward0>)
91 tensor(6.6106, device='cuda:0', grad_fn=<MeanBackward0>)
92 tensor(6.6106, device='cuda:0', grad_fn=<MeanBackward0>)
93 tensor(6.6106, device='cuda:0', grad_fn=<MeanBackward0>)
94 tensor(6.6106, device='cuda:0', grad_fn=<MeanBackward0>)
95 tensor(6.6106, device='cuda:0', grad_fn=<MeanBackward0>)
96 tensor(6.6106, device='cuda:0', grad_fn=<MeanBackward0>)
97 tensor(6.6106, device='cuda:0', grad_fn=<MeanBackward0>)
98 tensor(6.6106, device='cuda:0', grad_fn=<MeanBackward0>)
99 tensor(6.6106, device='cuda:0', grad_fn=<MeanBackward0>)
0 tensor(8.8637, device='cuda:0', grad_fn=<MeanBackward0>)
1 tensor(8.8484, device='cuda:0', grad_fn=<MeanBackward0>)
2 tensor(8.2941, device='cuda:0', grad_fn=<MeanBackward0>)
3 tensor(8.2711, device='cuda:0', grad_fn=<MeanBackward0>)
4 tensor(8.0012, device='cuda:0', grad_fn=<MeanBackward0>)
5 tensor(8.0012, device='cuda:0', grad_fn=<MeanBackward0>)
6 tensor(8.0012, device='cuda:0', grad_fn=<MeanBackward0>)
7 tensor(7.6080, device='cuda:0', grad_fn=<MeanBackward0>)
8 tensor(7.6080, device='cuda:0', grad_fn=<MeanBackward0>)
9 tensor(7.6080, device='cuda:0', grad_fn=<MeanBackward0>)
10 tensor(7.5100, device='cuda:0', grad_fn=<MeanBackward0>)
11 tensor(7.5100, device='cuda:0', grad_fn=<MeanBackward0>)
12 tensor(7.5100, device='cuda:0', grad_fn=<MeanBackward0>)
13 tensor(7.5100, device='cuda:0', grad_fn=<MeanBackward0>)
14 tensor(7.1791, device='cuda:0', grad_fn=<MeanBackward0>)
15 tensor(7.1791, device='cuda:0', grad_fn=<MeanBackward0>)
16 tensor(7.0564, device='cuda:0', grad_fn=<MeanBackward0>)
17 tensor(7.0564, device='cuda:0', grad_fn=<MeanBackward0>)
18 tensor(7.0564, device='cuda:0', grad_fn=<MeanBackward0>)
19 tensor(7.0564, device='cuda:0', grad_fn=<MeanBackward0>)
20 tensor(7.0564, device='cuda:0', grad_fn=<MeanBackward0>)
21 tensor(7.0564, device='cuda:0', grad_fn=<MeanBackward0>)
22 tensor(7.0564, device='cuda:0', grad_fn=<MeanBackward0>)
23 tensor(7.0564, device='cuda:0', grad_fn=<MeanBackward0>)
24 tensor(7.0564, device='cuda:0', grad_fn=<MeanBackward0>)
25 tensor(7.0564, device='cuda:0', grad_fn=<MeanBackward0>)
26 tensor(7.0564, device='cuda:0', grad_fn=<MeanBackward0>)
27 tensor(7.0564, device='cuda:0', grad_fn=<MeanBackward0>)
28 tensor(7.0564, device='cuda:0', grad_fn=<MeanBackward0>)
29 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
30 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
31 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
32 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
33 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
34 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
35 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
36 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
37 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
38 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
39 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
40 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
41 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
42 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
43 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
44 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
45 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
46 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
47 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
48 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
49 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
50 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
51 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
52 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
53 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
54 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
55 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
56 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
57 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
58 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
59 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
60 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
61 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
62 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
63 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
64 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
65 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
66 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
67 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
68 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
69 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
70 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
71 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
72 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
73 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
74 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
75 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
76 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
77 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
78 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
79 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
80 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
81 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
82 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
83 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
84 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
85 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
86 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
87 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
88 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
89 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
90 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
91 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
92 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
93 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
94 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
95 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
96 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
97 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
98 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
99 tensor(6.8859, device='cuda:0', grad_fn=<MeanBackward0>)
